Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_R2,Fit_age_cw_R2
223,BMW,330i xDrive,Sedan,50810.91423,0.199036457,0.863876653,48168.4436,2.24E-05,0.871783757,0.732781781
224,Subaru,Legacy,Sedan,19555.00493,0.057985029,0.32543969,24288.02703,8.48E-06,0.878287963,
225,Hyundai,Veloster,Hatchback,17056.22369,0.084470243,0.589566824,105000.0003,0.000771403,-10.87850125,
226,Buick,LaCrosse,Sedan,42968.56381,0.167868853,0.79110219,105000.0001,0.000771408,-5.595941825,
227,Scion,tC,Coupe,23598.208,0.122234342,0.689076263,105000.0001,0.000771412,-5.473306313,
228,Buick,Encore,Sedan,20141.9185,0.088108137,0.439941445,20385.1949,8.16E-06,0.788181628,-1.289448501
229,Acura,TLX,Sedan,34947.84439,0.125274861,0.872375684,34831.49421,1.79E-05,0.768908385,-0.155692615
230,Chevrolet,Express 3500,Van,30679.84086,0.066536932,0.465741839,34901.00009,0.0015,-4.32521795,
231,Ford,E-150 and Econoline 150,Van,22614.04684,0.057742427,0.283801589,105000,0.0015,-10.65603273,
232,Chrysler,PT Cruiser,Wagon,10000,0.065318962,-0.321867032,105000,0.0015,-17.51160185,
233,Scion,xB,Wagon,21150.21355,0.114079993,0.837995138,105000,0.0015,-10.399026,
234,Subaru,Crosstrek,Sport Utility,27651.11715,0.088907389,0.382566814,105000.0002,0.000798674,-54.91531463,
235,BMW,328i xDrive,Sedan,39365.67171,0.142106629,0.889046927,105000,0.001126875,-9.342278571,
236,Toyota,Prius C,Hatchback,22153.28119,0.11034973,0.790411727,105000,0.001126875,-11.96076433,
237,Cadillac,XTS,Sedan,26717.23644,0.0546755,-0.059510285,44871.52053,1.97E-05,0.827954925,
238,BMW,128i,Convertible,26904.38532,0.098759124,0.442241686,105000,0.0015,-15.05730971,
239,BMW,430i,Coupe,48174.38515,0.227003838,0.829708036,45241.54462,1.65E-05,0.804194183,0.803976289
240,Kia,Sportage,Sport Utility,26242.92994,0.121751634,0.779277725,25954.83057,1.09E-05,0.898070205,0.077525316
241,INFINITI,Q60,Coupe,50219.17665,0.159870451,0.713587569,42816.72505,1.40E-05,0.817527363,
242,Mitsubishi,Eclipse Cross,Sport Utility,24650.04513,0.069680136,0.294663227,22830.37213,4.41E-05,0.336871628,-6.613952721
243,Ferrari,California,Convertible,199256.2811,0.079265062,0.889787455,152005.4881,2.26E-05,0.435711516,
244,Jeep,Patriot,Sport Utility,16397.08222,0.079775952,0.411263936,105000,0.001126875,-19.20540198,
245,BMW,428i,Convertible,47258.22554,0.170602753,0.551197451,105000,0.0015,-30.27980457,
246,BMW,530i,Sedan,61068.96447,0.190032782,0.917757491,51176.74691,1.57E-05,0.956637289,
247,Chevrolet,Express 2500,Van,26877.52894,0.088894453,0.677369782,20094.79373,4.76E-06,0.385762631,
248,Maserati,GranTurismo,Coupe,121120.4542,0.13976347,0.894455867,105000.0001,0.000772361,-7.029654177,
249,BMW,550i,Sedan,81808.49843,0.197481904,0.889793991,105000,0.0015,-5.773367741,
250,Ford,Transit 250,Van,42923.96809,0.05,-0.699297821,39527.66667,0.0015,-10.27729361,
251,Dodge,Ram 3500 Truck,Truck,57681.65102,0.05,-0.125230747,105000,0.0015,-15.90737756,
252,Honda,Insight,Sedan,28844.17406,0.152258165,0.924753762,28423.33333,0.0015,0.670257948,0.626139855
253,MAZDA,MAZDA5,Van,19413.13555,0.121642867,0.619876358,105000,0.0015,-9.799206119,
254,BMW,430i Gran Coupe,Hatchback,42474.64264,0.151902478,0.788788582,47511.97563,1.69E-05,0.810162611,0.878285418
255,Ford,Transit 350,Van,41219.65972,0.05,-0.024251125,44756.20703,1.67E-05,0.832595286,
256,Ford,E-250 and Econoline 250,Van,45547.65083,0.137135759,0.826292585,105000,0.0015,-7.594580002,
257,Subaru,XV Crosstrek,Wagon,27522.21933,0.085807347,0.452158676,105000,0.0015,-60.00616355,
258,Nissan,NV,Van,36403.35216,0.093604108,0.516534651,33855.62875,7.12E-06,0.888728609,-2.746328312
259,Maserati,Ghibli,Sedan,72363.11531,0.188520263,0.44745233,105000,0.001126875,-13.4663458,
260,Porsche,Cayman,Coupe,82751.6669,0.09169114,0.518998924,105000,0.001126875,-7.904162461,
261,BMW,M2,Coupe,64853.43909,0.160939241,0.800568275,62720.84102,1.72E-05,0.839150845,0.304672447
262,Cadillac,ATS,Coupe,34334.91642,0.123413895,0.437790404,105000.0001,0.000771403,-9.281710008,
263,INFINITI,Q70,Sedan,32644.8701,0.069231018,0.318988554,105000.0001,0.000771407,-48.83734328,
264,Jaguar,XE,Sedan,46208.77146,0.118196728,0.538254361,44043.94666,1.73E-05,0.710513014,-0.125717742
265,Toyota,Matrix,Hatchback,19833.23094,0.091364854,0.626112591,105000,0.0015,-21.8150992,
266,Chevrolet,Sonic,Hatchback,15074.84997,0.088771896,0.692408319,105000.0001,0.000771768,-10.61055045,
267,Hyundai,Genesis,Sedan,37317.82991,0.144912254,0.742104699,105000,0.0015,-9.452062816,
268,GMC,Canyon,Truck,34408.06813,0.079463544,0.697453417,31267.43701,7.92E-06,0.570624664,
269,INFINITI,FX35,Sport Utility,44957.70512,0.128185486,0.813548759,105000,0.0015,-15.06274464,
270,Toyota,Prius V,Wagon,25946.78702,0.107711744,0.139710385,12499.00295,0.0015,-31.84530398,
271,Mercedes-Benz,GLS 450,Sport Utility,70861.36983,0.14407422,0.464666631,77432.23028,1.47E-05,0.954520078,-0.125222694
272,Lincoln,Navigator,Sport Utility,84105.40232,0.267490091,0.922743724,94340,0.0015,0.189747547,0.880696077
273,BMW,650i,Convertible,75425.08118,0.165674586,0.884771887,105000,0.0015,-5.487705722,
274,Chevrolet,Trax,Sport Utility,23384.15998,0.102811265,0.285954578,23283.28685,1.60E-05,0.709979527,-1.992642755
275,Dodge,Dakota,Truck,55817.66716,0.156571585,0.793633446,105000.0001,0.000771428,-7.891214375,
276,BMW,X4,Sport Utility,61442.59221,0.194136926,0.926166141,62553.04985,0.003,-2.331075445,0.9579013
277,BMW,750i,Sedan,91223.38078,0.213343192,0.974637076,105000.0001,0.000771403,-2.361632834,
278,INFINITI,QX56,Sport Utility,53741.51784,0.131314519,0.853196233,10000,0.0015,-8.366263872,
279,BMW,230i,Convertible,42809.80246,0.20590567,0.785916175,44796.58749,2.60E-05,0.856379852,0.805003572
280,Volkswagen,Eos,Convertible,35914.59464,0.148735681,0.757851862,105000,0.0015,-8.808666071,
281,Honda,S2000,Convertible,79835.36831,0.079869073,0.320375788,28869.22331,5.09E-06,0.192518892,
282,MAZDA,MAZDA6,Sedan,23108.83641,0.120494887,0.846862243,105000,0.001126875,-7.441183915,
283,BMW,228i,Coupe,46785.78767,0.197363949,0.555514679,105000,0.0015,-65.37983506,
284,Mercedes-Benz,Sprinter,Van,55978.21047,0.05,-0.06038623,60850.38158,1.14E-05,0.392254955,
285,BMW,135i,Convertible,22736.86438,0.05,0.108457008,105000,0.0015,-16.25698899,
286,Mercedes-Benz,C 230,Sedan,28721.98407,0.111753425,0.53690765,105000,0.0015,-12.24664027,
287,Chevrolet,HHR,Wagon,15466.80562,0.088512836,0.181556696,105000,0.0015,-12.3362309,
288,Lexus,NX 300,Sport Utility,39818.63982,0.077710057,0.329888704,38777.34292,1.01E-05,0.91548108,-7.851474998
289,Lexus,IS 300,Sedan,34592.75109,0.081030435,0.115264069,35461.39981,1.09E-05,0.466717208,
290,Nissan,Juke,Sport Utility,19654.35648,0.084212656,0.559948111,105000,0.0015,-19.83012942,
