Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_c,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_c,Fit_miles_R2,Fit_age_cw_R2
172,Cadillac,SRX,Sport Utility,42504.00275,0.177145706,2538.792338,0.882748269,105000,0.0015,15633.2963,2.80E-14,
173,Audi,S5,Convertible,59503.76155,0.212446942,8603.547925,0.914396127,43723.07793,2.06E-05,10335.14959,0.793737984,
174,Toyota,Yaris,Hatchback,15424.29183,0.13564215,2700.297031,0.916016072,13382.86526,1.62E-05,4267.750959,0.901559426,0.438643349
175,Mercedes-Benz,GL 450,Sport Utility,70922.8283,0.197731859,3630.688471,0.864601432,105000,0.0015,18788.26923,0,
176,HUMMER,H2,Sport Utility,200000,0.183202523,7143.46119,0.048872186,10000.00002,0.0015,21968.15245,-0.056256642,
177,Toyota,Venza,Sport Utility,10000,1,11303.63152,-0.072061984,10000,0.0015,10268.95115,-0.64894818,
178,Ford,Transit Connect,Van,31340.06245,0.104222431,3.51E-09,0.556824455,16444.14587,0.003,14819.67951,0.662829863,-0.668001128
179,INFINITI,G35,Sedan,21382.74303,0.072696086,6.83E-10,0.043742971,105000,0.0015,7658.800001,0,
180,Ford,E-350 and Econoline 350,Van,35189.22659,0.166125678,6001.773426,0.243589015,10000,0.003,14220.03809,-7.57E-05,
181,BMW,M5,Sedan,86309.80357,0.309027483,23399.1498,0.898518217,78953.49109,0.0015,30431.86042,0.787149448,0.522072862
182,Mercedes-Benz,C 250,Sedan,200000,0.693662671,10773.95801,0.431183005,105000,0.0015,12188.28001,7.45E-14,
183,Kia,Sorento,Sport Utility,29294.99692,0.125187949,4.75E-08,0.611261318,27631.45191,9.86E-06,4.65E-11,0.852301867,
184,Lexus,RX 330,Sport Utility,200000,0.51708386,8017.087418,-0.028152022,10000.00003,0.0015,7911.792462,-2.573852994,
185,Lexus,GX 460,Sport Utility,44661.72758,0.170810613,10651.6348,0.729065318,38213.80376,2.47E-05,19837.0667,0.901309641,
186,Acura,TSX,Wagon,47416.30791,0.196383412,3441.141308,0.730713852,105000,0.0015,11344.73913,1.89E-15,
187,Mercedes-Benz,CLS 550,Sedan,200000,0.533601703,15895.39927,0.896202665,73197.77288,0.0015,26117.22819,0.801420314,
188,Toyota,C-HR,Sport Utility,23880.58803,0.115140426,8.04E-09,0.455498342,11408.70833,2.45E-05,11599.18112,0.693294908,-0.586374062
189,Mercedes-Benz,GLK 350,Sport Utility,51393.12858,0.245545942,6801.459159,0.706658393,105000,0.0015,14512.86957,0,
190,Chevrolet,Volt,Hatchback,19895.30649,0.175365448,6084.361865,0.650787513,105000,0.0015,12441.86957,1.73E-13,
191,Mercedes-Benz,SL 550,Convertible,109347.2794,0.161925039,1729.497502,0.794230021,105000,0.001499964,30127.13043,2.06E-13,
192,Jaguar,F-TYPE,Coupe,79540.86968,0.107321657,1.90E-08,0.349714086,47283.09124,9.51E-05,35248.23663,0.868032133,-0.886890678
193,Audi,Q3,Sport Utility,20134.0569,0.731279766,19893.60111,0.959811362,18581.14168,0.000211458,22043.0875,0.964103846,0.643477254
194,Audi,A8,Sedan,56050.0953,0.138580073,3380.047095,0.857885565,105000,0.0015,25429.43478,-2.22E-16,
195,Lexus,IS 200t,Sedan,75398.59256,0.999634397,20392.00558,0.287642088,11249.40314,7.88E-05,21258.72073,0.382601623,
196,BMW,M4,Coupe,68741.12287,0.542632559,36622.42279,0.317024588,71337.04644,0.000341013,43361.85656,0.656694893,0.207359088
197,Dodge,Journey,Sport Utility,28111.18461,0.394790079,7340.894516,0.715812113,17990.67695,2.11E-05,5980.373664,0.832935938,
198,MINI,Cooper Clubman,Wagon,36358.86178,0.244395642,4272.946542,0.915669989,28385.0425,4.16E-05,7646.683585,0.842415711,0.737172372
199,Hyundai,Accent,Sedan,13428.68152,0.109131278,1261.258861,0.858237932,152178.0201,0.000567772,9569.683039,0.109237012,
