Entry,Make,Model,Fit_age_a,Fit_age_b,Fit_age_c,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_c,Fit_miles_R2
63,MAZDA,MAZDA3,26355.777690430674,0.21299900220510132,3616.3816340221915,0.6544919678727519,18368.15393105913,1.5870216249715687e-05,4440.221206167426,0.5974570067790768
64,Nissan,Rogue,23080.38912730679,0.1153576115222815,2.9776219114750454e-09,0.7473212728813288,13934.957276561934,0.0019498061281684469,13064.547349233573,0.27552470087169845
65,Audi,A3,33819.93317527421,0.18146020662977239,3100.759110895189,0.9027093520846818,28314.420875717682,1.9385314377301076e-05,4108.190446199366,0.7906198212554514
66,Dodge,Charger,36038.79817593505,0.14179682718404277,4.37239913667108e-07,0.6320127687417014,36419.61149370836,1.2084296212953913e-05,1.1171268159929516e-10,0.6723474640576208
67,Chevrolet,Equinox,20705.575779006405,0.08726932194228544,2.6297012544553066e-12,0.55376703846443,20351.69507456365,2.2762214785189458e-05,7361.800868584586,0.8154136242777095
68,Dodge,Ram 1500 Truck,50969.2068676821,0.11485931681262598,1.7524970258573526e-11,0.526211633391665,10000.000000000002,0.0029999999999999996,11235.110112848382,-0.09793734730896997
69,Subaru,Forester,30427.03202632143,0.13633529815857304,1699.0472014233787,0.8931050784976652,26462.646681947783,9.187423054904017e-06,9.333362767059443e-12,0.6465222354348792
70,Nissan,Sentra,14013.030062149415,0.11963154003839178,1835.8542824476024,0.7305787724068055,15097.18252258052,1.0282522020431673e-05,1338.1894422976848,0.8842514558551715
72,Toyota,Sequoia,64723.54952463623,0.12854918759534412,7.439394926407231e-09,0.8637704164586506,51544.51028686298,1.3222164033419048e-05,3377.0914944635742,0.7910647263163795
73,BMW,M3,60383.086896372435,0.17074054240413217,14738.128606457396,0.8305274655106285,63884.656719637285,1.2152908628847159e-05,3.652381456303866e-08,0.8436141434365729
74,Hyundai,Elantra,16752.510815400885,0.09953120789437332,1.4073222806527045e-14,0.7874088703254047,14505.026930763554,1.3768406350510328e-05,3398.917552720969,0.8676025715556748
75,Dodge,Ram 2500 Truck,180546.46900368022,0.26806678592836736,19405.937394592194,0.12009157825775207,105000.0,0.0015,24622.127281992423,5.551115123125783e-16
76,Acura,RDX,38569.92768603614,0.17247345819496543,2905.142041479816,0.9558787942943747,37832.34892992764,1.9329094098985705e-05,5499.5400989284335,0.945791518439607
77,Mitsubishi,Outlander,30165.735097770812,0.16436494618144934,8.453610890728908e-11,-0.11250595255656304,17435.99188287166,0.001469384771352655,15398.321535581184,0.4303187659818418
78,Honda,HR-V,25648.948721613502,0.08910082639300423,1.143857844546482e-06,0.4381280663979432,10000.000000000002,0.0029999999999999996,15749.257039150867,0.5386014863151627
79,Chevrolet,Impala,23059.28570472938,0.13088834152569512,8.130394983090904e-10,0.5137336978467077,17926.594925239733,0.002677581070339383,15531.219081770074,0.4847816629979663
80,Lexus,IS 250,43264.22458210237,0.13011294475819057,1.1163613709559532e-08,0.893602052054554,105000.0,0.0014929713317353912,15117.489913188305,1.2862677589708937e-10
81,Lexus,ES 350,43575.676121936944,0.19680125107244245,5161.553116075011,0.902995761537155,30850.929136105562,1.7043399880073816e-05,5615.582212552091,0.6908200785431335
82,Jeep,Cherokee,18563.237027755662,0.07250866478851342,2489.050524402201,0.4605702123981821,21520.264265613212,4.828306947379507e-06,6.879153234711378e-06,0.3618359517902977
