index,Make,Model,Fit_age_a,Fit_age_b,Fit_age_R2,Body,Half life
283,Dodge,Ram 3500 Truck,51556.82115,0.068262403,0.122280832,Truck,10.15419869
199,FIAT,500,20854.04638,0.153859424,0.458386171,Hatchback,4.505086406
273,Ferrari,F430,200000,0.028297371,0.007652941,Convertible,24.49520867
62,Ford,Ranger,42369.85067,0.126802677,0.909651932,Truck,5.466367247
19,Ford,Escape,25382.58345,0.125064717,0.628886936,SUV,5.542330526
161,Ford,Flex,35508.55022,0.138244718,0.745146864,SUV,5.013934776
52,Ford,Focus,28722.66549,0.172332539,0.507246159,Sedan,4.022165533
38,Ford,Edge,37789.42035,0.161298637,0.773811543,SUV,4.297308467
104,Ford,Taurus,22558.82326,0.129018346,0.749392866,Sedan,5.372491742
27,Ford,Fusion,24210.31675,0.13533978,0.662750709,Sedan,5.121554068
182,Ford,Transit Connect,32799.80652,0.163392021,0.779040459,Van,4.242251228
13,Ford,Explorer,39612.33261,0.145155174,0.846665782,SUV,4.77523453
137,Ford,E-350 and Econoline 350,47508.67937,0.129222716,0.619781364,Van,5.363994968
265,Ford,Excursion,189606.4829,0.164172586,0.209356707,SUV,4.222081268
0,Ford,F150,44246.05318,0.115783782,0.733981196,Truck,5.986589737
201,Ford,F450,62026.65018,0.089851192,0.742910534,Truck,7.714421826
9,Ford,Mustang,33836.47457,0.08850897,0.274309945,Coupe,7.831409614
215,Ford,E-250 and Econoline 250,29905.18914,0.115039606,0.471791278,Van,6.025316167
47,Ford,F350,62148.13355,0.102888579,0.76194676,Truck,6.736899365
17,Ford,F250,53819.19282,0.092517484,0.755025297,Truck,7.492097364
167,Ford,Transit 350,38478.77457,0.079472845,0.132147073,Van,8.721847077
70,Ford,Expedition,66979.79819,0.205198384,0.912322407,SUV,3.377950584
204,Ford,E-150 and Econoline 150,25414.00053,0.093279645,0.44083488,Van,7.43088163
143,Ford,Crown Victoria,18255.97417,0.053301227,0.244570464,Sedan,13.00439103
145,Ford,Fiesta,17540.69721,0.116628347,0.284255181,Hatchback,5.943237799
149,Ford,EcoSport,24907.21078,0.099805478,0.066597182,SUV,6.945009559
113,GMC,Yukon XL,55298.58023,0.139956691,0.866703566,SUV,4.952603525
130,GMC,Terrain,26245.68612,0.119736802,0.747135916,SUV,5.788947002
285,GMC,Canyon,36622.93591,0.103828778,0.858721058,Truck,6.675894784
153,GMC,Sierra 2500,61685.74467,0.093091215,0.759354999,Truck,7.445922769
82,GMC,Yukon,61290.16274,0.141930745,0.857777727,SUV,4.883719862
68,GMC,Acadia,34678.54539,0.125906928,0.779087321,SUV,5.505257027
48,GMC,Sierra 1500,49180.03009,0.113254232,0.805895095,Truck,6.120301097
129,HUMMER,H2,198329.7278,0.157006965,0.169706775,SUV,4.41477229
3,Honda,Civic,23425.10639,0.110509491,0.851286885,Sedan,6.272311968
23,Honda,Odyssey,40210.89935,0.14576335,0.913871622,Van,4.755310566
206,Honda,Ridgeline,39849.70744,0.106296468,0.937069598,Truck,6.520912788
295,Honda,Passport,42748.81567,0.143614654,0.582017408,SUV,4.826457343
