Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_R2,Fit_age_cw_R2
79,Jeep,Liberty,Sport Utility,21597.625042845266,0.09553457429213856,0.47634778336278893,10000.000000000002,3.4839289389069897e-06,0.07848350363932854,
80,Chevrolet,Cruze,Sedan,18461.012595974953,0.11940393893714048,0.5761386501857851,18093.47377344914,1.00736549236064e-05,0.6180185695185847,
81,Subaru,Forester,Sport Utility,31644.223544488414,0.1268954642227269,0.8675421834357593,23881.672380783326,9.243623028605963e-06,0.6329745768762143,0.49803718585898904
82,Land Rover,Range Rover Sport,Sport Utility,94519.98341392363,0.1871957163307047,0.919191775138599,89824.55763186072,1.863256074043516e-05,0.8306726531307714,0.8793879003781705
83,GMC,Yukon,Sport Utility,61290.16274220651,0.14193074533758235,0.8577777267117636,35265.333397740316,0.0015,-1.677726156919387,
84,Subaru,Outback,Wagon,35812.97307244928,0.13522282547252748,0.8940626562803466,26622.749432374956,9.142659677182639e-06,0.6247551436895433,0.6968723426852278
85,Honda,HR-V,Sport Utility,25177.6279588026,0.10046281994327753,0.32828842433229344,24848.74525344437,1.2965807215489295e-05,0.630389173969039,-2.3295305929738954
86,Nissan,Pathfinder,Sport Utility,29123.447632155938,0.11998656423870703,0.7893023387495149,28851.155218718566,1.0130491034227664e-05,0.6817711657587081,0.4255074086510152
87,Acura,RDX,Sport Utility,42559.08885265344,0.15613239263698464,0.9525226471739138,42026.593250123544,1.4496103872515535e-05,0.9084498358422537,0.8868694477992091
88,Cadillac,Escalade,Sport Utility,80472.31302973276,0.1539151021074796,0.9379631729637498,65305.23778962455,1.1621212109737344e-05,0.6447726684012013,0.8281726224487823
89,Audi,A3,Sedan,36273.11087236029,0.150361213868715,0.8755061358142835,34355.09622376659,1.6381710466030623e-05,0.835808392713312,0.5503353612745698
90,Acura,TL,Sedan,28820.443700856875,0.10861842370877367,0.7023392406098299,10000.000000179838,0.0015,-4.5212521081553385,
91,Nissan,Maxima,Sedan,33978.41100291976,0.15423044257787036,0.85282194621917,28477.623870676645,1.216432124270427e-05,0.7549754491931744,0.808229681816741
92,Land Rover,Range Rover,Sport Utility,114091.76513582548,0.18290045459003892,0.9195804469907601,107223.27102783548,1.911625555267064e-05,0.8017158384391005,0.8755846850260469
93,Volkswagen,Golf,Coupe,26962.49189756038,0.13115336676940742,0.7706394559322778,26367.234661787774,0.002999999999961994,-0.5309444583401686,0.2701698685006182
